On-Campus Blue Meal Plan Activity
Posted	Swipe Count	  	Location
10/21/2021 12:18:26 PM	1	  	Crossroads
10/20/2021 7:18:41 PM	1	  	Crossroads
10/20/2021 11:35:02 AM	1	  	Crossroads
10/19/2021 6:34:17 PM	1	  	Crossroads
10/19/2021 11:21:58 AM	1	  	Crossroads
10/18/2021 8:11:30 PM	1	  	Crossroads
10/18/2021 1:50:14 PM	1	  	Crossroads
10/14/2021 7:43:38 PM	1	  	Crossroads
10/14/2021 11:46:02 AM	1	  	Crossroads
10/13/2021 11:44:06 AM	1	  	Crossroads
Posted: 10/13/2021 9:17:26 PM

10/13/2021 6:51:52 PM	1	  	Crossroads
10/12/2021 6:44:25 PM	1	  	Crossroads
10/12/2021 12:46:06 PM	1	  	Crossroads
10/11/2021 7:18:22 PM	1	  	Crossroads
10/10/2021 6:41:02 PM	1	  	Crossroads
10/9/2021 7:25:39 PM	1	  	Crossroads
10/8/2021 7:09:39 PM	1	  	Crossroads
10/8/2021 11:31:08 AM	1	  	Crossroads
10/7/2021 7:55:39 PM	1	  	Clark Kerr
10/7/2021 11:38:41 AM	1	  	Crossroads
10/6/2021 6:49:16 PM	1	  	Crossroads
10/6/2021 11:28:19 AM	1	  	Crossroads
10/5/2021 7:11:57 PM	1	  	Crossroads
10/5/2021 11:42:00 AM	1	  	Crossroad S2
10/4/2021 7:21:37 PM	1	  	Crossroads
10/4/2021 1:12:22 PM	1	  	Crossroads
10/3/2021 5:12:11 PM	1	  	Crossroads
10/1/2021 7:48:50 PM	1	  	Crossroads
10/1/2021 12:23:10 PM	1	  	Crossroads
9/30/2021 6:45:48 PM	1	  	Crossroads
9/30/2021 11:27:46 AM	1	  	Crossroads
9/29/2021 7:23:18 PM	1	  	Crossroads
9/29/2021 11:35:23 AM	1	  	Crossroads
9/28/2021 7:45:52 PM	1	  	Cafe 3
9/28/2021 12:53:48 PM	1	  	Crossroads
9/27/2021 7:22:56 PM	1	  	Crossroads
9/27/2021 11:41:18 AM	1	  	Crossroads
9/26/2021 6:31:52 PM	1	  	Clark Kerr
9/26/2021 12:31:40 PM	1	  	Cafe 3
9/25/2021 7:10:09 PM	1	  	Clark Kerr
9/24/2021 6:33:32 PM	1	  	Crossroads
9/24/2021 11:24:04 AM	1	  	Crossroads
9/23/2021 6:16:19 PM	1	  	Cafe 3
9/23/2021 11:35:20 AM	1	  	Crossroads
9/22/2021 6:57:47 PM	1	  	Cafe 3
9/22/2021 11:22:59 AM	1	  	Crossroad S2
9/21/2021 6:12:14 PM	1	  	Clark Kerr
9/21/2021 11:30:50 AM	1	  	Crossroads
9/20/2021 5:13:42 PM	1	  	Crossroads
9/19/2021 11:58:44 AM	1	  	Cafe 3
9/17/2021 6:11:38 PM	1	  	Crossroads
9/17/2021 2:06:02 PM	1	  	Cafe 3
9/16/2021 7:13:42 PM	1	  	Crossroads
9/16/2021 11:34:51 AM	1	  	Crossroads
9/15/2021 7:25:52 PM	1	  	Crossroads
9/15/2021 1:06:22 PM	1	  	Crossroads
9/14/2021 6:08:15 PM	1	  	Cafe 3
9/14/2021 11:37:23 AM	1	  	Crossroads
9/13/2021 6:19:29 PM	1	  	Crossroads
9/13/2021 11:29:23 AM	1	  	Crossroads
9/12/2021 11:16:29 AM	1	  	Crossroads
Posted: 9/12/2021 9:18:14 PM

9/12/2021 8:22:27 PM	1	  	Crossroads
9/11/2021 6:47:57 PM	1	  	Crossroads
Posted: 9/12/2021 12:41:08 AM

9/11/2021 12:18:34 PM	1	  	Cafe 3
9/10/2021 5:22:43 PM	1	  	Crossroads
Posted: 9/10/2021 11:49:39 PM

9/9/2021 6:30:57 PM	1	  	Cafe 3
9/9/2021 11:32:07 AM	1	  	Crossroads
9/8/2021 7:05:14 PM	1	  	Crossroads
9/8/2021 11:14:14 AM	1	  	Crossroads
9/7/2021 6:18:56 PM	1	  	Crossroads
9/7/2021 11:18:43 AM	1	  	Crossroad S2
9/6/2021 8:24:49 PM	1	  	Crossroads
9/5/2021 5:57:03 PM	1	  	Crossroads
9/5/2021 2:29:20 PM	1	  	Cafe 3
9/3/2021 5:55:26 PM	1	  	Clark Kerr
9/3/2021 11:25:53 AM	1	  	Cafe 3
9/2/2021 8:34:44 PM	1	  	Cafe 3
9/2/2021 11:22:32 AM	1	  	Crossroads
9/1/2021 6:56:30 PM	1	  	Crossroads
9/1/2021 11:30:02 AM	1	  	Crossroads
8/31/2021 7:40:48 PM	1	  	Cafe 3
8/31/2021 11:15:27 AM	1	  	Crossroads
8/30/2021 7:44:43 PM	1	  	Crossroads
8/30/2021 11:17:06 AM	1	  	Crossroads
8/29/2021 7:57:19 PM	1	  	Crossroads
8/29/2021 12:47:31 PM	1	  	Crossroads
8/28/2021 7:40:45 PM	1	  	Cafe 3
8/28/2021 1:41:35 PM	1	  	Cafe 3
8/27/2021 11:32:56 AM	1	  	Crossroad S2
8/26/2021 1:50:40 PM	1	  	Crossroad S2
8/25/2021 8:05:23 PM	1	  	Crossroads
8/25/2021 12:55:30 PM	1	  	Crossroads
8/24/2021 6:30:15 PM	1	  	Foothill
8/24/2021 12:14:50 PM	1	  	Cafe 3
8/23/2021 5:57:12 PM	1	  	Crossroad S2
8/23/2021 2:15:01 PM	1	  	Crossroads
8/22/2021 6:08:54 PM	1	  	Crossroads
8/21/2021 5:46:11 PM	1	  	Cafe 3
8/20/2021 5:43:29 PM	1	  	Crossroads
8/19/2021 5:14:37 PM	1	  	Crossroads
8/18/2021 8:19:03 PM	1	  	Crossroads
